Under 5 years,21434,10955,10479
5 to 9 years,20785,10624,10162
10 to 14 years,19893,10178,9714
15 to 19 years,21086,10719,10367
20 to 24 years,21154,10684,10470
25 to 29 years,21453,10928,10525
30 to 34 years,19632,9761,9871
35 to 39 years,19888,9902,9986
40 to 44 years,20559,10172,10387
45 to 49 years,22527,11092,11435
50 to 54 years,21860,10692,11169
55 to 59 years,19172,9318,9854
60 to 64 years,16223,7667,8556
65 to 69 years,12020,5672,6349
70 to 74 years,8936,4063,4873
75 to 79 years,7181,3020,4161
80 to 84 years,5783,2408,3375
85 years and over,4693,1631,3062
